007219|er4 shi4 yong4 hu4 cheng2 ben3 ri4 yi4 ti2 gao1.
007118|sheng2 shui3 li4 ting1 nong2 shui3 chu4 chu4 zhang3, lin2 chun1 he2, pei2 tong2 jian3 cha2.
008210|si4 yang2 xian4 yan2 zi4 dang1 tou2, li4 cu4 yi1 ba2 shou3 kang2 qi3 ze2 ren4.
007996|qian2 you3 shun4 chi2 jin1 you3 lv4 cheng2, ke3 kan1 jie4 jian4.
000149|liu2 jing1 yao2 zai4 qvan2 guo2 re4 xiao1 de0 mei3 su4 li4 er0, cheng2 le0 keng1 er2 nai2 fen3.
011765|fu2 pin2 bu4 jin3 yao4 fu2 mian4, geng4 zhong4 yao4 de0 shi4 yao4 fu2 dian3.
009552|xin1 yi4 lun2 de0 zheng1 chuang4 gong1 zuo4, you3 san1 da4 xian1 ming2 te4 dian3.
003058|wo3 zi1 xvn2 le0 lv4 hua4 wei3, shuo1 jia3 shan1 pi2 pei4 yi4 xie1 zhi2 bei4 neng2 ge2 re4.
006456|ge4 di4 qi3 dong4 ying4 ji2 yv4 an4, zui4 da4 cheng2 du4 qve4 bao3 qvn2 zhong4 zheng4 chang2 sheng1 huo2.
008987|wo3 men0 jin1 tian1 jiu4 xian1 dao4 shuai4 xian1 tui1 chu1 xian4 jia4 fang2 de0 cheng2 du1 qv4 kan4 kan0.
000454|zan4 ting2 xin1 gu3 fa1 xing2, qi2 ma3 rang4 er4 ji2 shi4 chang3 chuan2 kou3 qi4 ba0.
006559|fen1 wei2 zai4 ying2 zao4, ze2 ren4 zai4 ming2 qve4, du1 cha2 zai4 shen1 ru4.
012982|shou3 xian1, yao4 lian4 hao2 wo3 men0 de0 nei4 gong1.
131353|ling2 si4 jiu3 shi4 shi4 nv3 jian1 kao2 lao3 shi1, wei2 ben3 xiao4 gao1 er4 ji2 lao3 shi1.
131032|mei2 ceng2 qi4 chan3 liang4, er4 shi0 jiu2 dian3 er4 liu4 yi4 li4 fang1 mi3, tong2 bi3 zeng1 bai3 fen1 zhi1 shi2 san1 dian3 qi1.
002770|jiu4 shi4 shuo1, wo2 you3 shan4, ze2 yv2 yi3 yi4 ren2, ren2 you3 shan4, ze2 qv2 yi3 yi4 wo3.
