007219|aɻ˥˩ ʂɚ˥˩ jʊŋ˥˩ xu˥˩ ʈʂʰɤŋ˧˥ pən˨˩˦ ʐɚ˥˩ i˥˩ tʰi˧˥ kɑʊ˥˥.
007118|ʂɤŋ˧˥ ʂweɪ˨˩˦ li˥˩ tʰɪŋ˥˥ nʊŋ˧˥ ʂweɪ˨˩˦ ʈʂʰu˥˩ ʈʂʰu˥˩ ʈʂɑŋ˨˩˦, lɪn˧˥ ʈʂʰuən˥˥ xɤ˧˥, pʰeɪ˧˥ tʰʊŋ˧˥ tɕjɛn˨˩˦ ʈʂʰa˧˥.
008210|sɯ˥˩ jɑŋ˧˥ ɕjɛn˥˩ jɛn˧˥ tsɯ˥˩ tɑŋ˥˥ tʰoʊ˧˥, li˥˩ tsʰu˥˩ i˥˥ pa˧˥ ʂoʊ˨˩˦ kʰɑŋ˧˥ tɕʰi˨˩˦ tsɤ˧˥ ʐən˥˩.
007996|tɕʰjɛn˧˥ joʊ˨˩˦ ʂuən˥˩ ʈʂʰɚ˧˥ tɕɪn˥˥ joʊ˨˩˦ ly˥˩ ʈʂʰɤŋ˧˥, kʰɤ˨˩˦ kʰan˥˥ tɕjɛ˥˩ tɕjɛn˥˩.
000149|ljoʊ˧˥ tɕɪŋ˥˥ jɑʊ˧˥ tsaɪ˥˩ tɕʰɥœn˧˥ kuɔ˧˥ ʐɤ˥˩ ɕjɑʊ˥˥ tɤ˧ meɪ˨˩˦ su˥˩ li˥˩ aɻ˧, ʈʂʰɤŋ˧˥ lɤ˧ kʰɤŋ˥˥ aɻ˧˥ naɪ˧˥ fən˨˩˦.
011765|fu˧˥ pʰɪn˧˥ pu˥˩ tɕɪn˨˩˦ jɑʊ˥˩ fu˧˥ mjɛn˥˩, kɤŋ˥˩ ʈʂʊŋ˥˩ jɑʊ˥˩ tɤ˧ ʂɚ˥˩ jɑʊ˥˩ fu˧˥ tjɛn˨˩˦.
009552|ɕɪn˥˥ i˥˩ luən˧˥ tɤ˧ ʈʂɤŋ˥˥ ʈʂʰwɑŋ˥˩ kʊŋ˥˥ tsuɔ˥˩, joʊ˨˩˦ san˥˥ ta˥˩ ɕjɛn˥˥ mɪŋ˧˥ tʰɤ˥˩ tjɛn˨˩˦.
003058|uɔ˨˩˦ tsɯ˥˥ ɕyn˧˥ lɤ˧ ly˥˩ xwa˥˩ weɪ˨˩˦, ʂuɔ˥˥ tɕja˨˩˦ ʂan˥˥ pʰi˧˥ pʰeɪ˥˩ i˥˩ ɕjɛ˥˥ ʈʂɚ˧˥ peɪ˥˩ nɤŋ˧˥ kɤ˧˥ ʐɤ˥˩.
006456|kɤ˥˩ ti˥˩ tɕʰi˨˩˦ tʊŋ˥˩ ɪŋ˥˩ tɕi˧˥ y˥˩ an˥˩, tsweɪ˥˩ ta˥˩ ʈʂʰɤŋ˧˥ tu˥˩ tɕʰɥœ˥˩ pɑʊ˨˩˦ tɕʰyn˧˥ ʈʂʊŋ˥˩ ʈʂɤŋ˥˩ ʈʂʰɑŋ˧˥ ʂɤŋ˥˥ xuɔ˧˥.
008987|uɔ˨˩˦ mən˧ tɕɪn˥˥ tʰjɛn˥˥ tɕjoʊ˥˩ ɕjɛn˥˥ tɑʊ˥˩ ʂuaɪ˥˩ ɕjɛn˥˥ tʰweɪ˥˥ ʈʂʰu˥˥ ɕjɛn˥˩ tɕja˥˩ fɑŋ˧˥ tɤ˧ ʈʂʰɤŋ˧˥ tu˥˥ tɕʰy˥˩ kʰan˥˩ kʰan˧.
